Date,Open,High,Low,Close,Adj Close,Volume,ADTV 10,ADTV Std 10
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,1779557,4145296
2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500,1832805,3617604
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000,1868180,3865156
2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000,2600168,11505664
2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000,3098316,8122500
2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500,3343631,5466244
2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000,3515913,7623121
2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500,4885141,18679684
2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500,5882614,14638276
2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500,7206611,18705625
2010-11-15,6.044,6.588,6.044,6.16,6.16,13114500,8422561,19245769
2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000,9056706,13645636
2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000,9308820,10843849
2010-11-18,6.134,6.148,5.784,5.978,5.978,4780500,8875082,12222016
2010-11-19,6.032,6.274,5.94,6.198,6.198,5752500,8901458,13912900
2010-11-22,6.314,6.69,6.3,6.68,6.68,7648500,9414195,16581184
2010-11-23,6.658,7.136,6.438,6.914,6.914,7889000,9776169,17715681
2010-11-24,7.054,7.194,6.866,7.094,7.094,7125000,8994616,17472400
2010-11-26,7.12,7.2,6.95,7.064,7.064,1753000,8119111,12306064
2010-11-29,7.082,7.19,6.666,6.866,6.866,5728000,7239811,15768841
2010-11-30,6.748,7.066,6.682,7.066,7.066,11113000,6951731,21353641
2010-12-01,7.174,7.284,6.69,6.87,6.87,6496000,6898723,17073424
2010-12-02,6.802,6.86,6.24,6.47,6.47,10035000,7521922,20007729
2010-12-03,6.402,6.45,6.174,6.298,6.298,5800500,7686242,15944049
2010-12-06,6.27,6.29,5.912,6.062,6.062,6372000,7764624,16000000
2010-12-07,6.098,6.48,6.01,6.312,6.312,6556500,7663262,16016004
2010-12-08,6.496,6.498,6.304,6.474,6.474,3300000,7194226,12503296
2010-12-09,6.502,6.544,6.33,6.41,6.41,2030000,6637822,10647169
2010-12-10,6.41,6.584,6.226,6.304,6.304,2147000,6621582,10426441
2010-12-13,6.328,6.354,6.08,6.11,6.11,2052000,6252358,10208025
2010-12-14,6.058,6.078,5.552,5.706,5.706,8828500,5986985,16867449
2010-12-15,5.734,5.994,5.706,5.92,5.92,3714500,5682298,12299049
2010-12-16,6.0,6.182,5.93,6.162,6.162,3950500,5043379,11833600
2010-12-17,6.268,6.308,6.142,6.272,6.272,4065000,4805937,11607649
2010-12-20,6.328,6.438,6.252,6.34,6.34,2617000,4406693,9803161
2010-12-21,6.36,6.538,6.342,6.452,6.452,3888500,4099969,10536516
2010-12-22,6.45,6.572,6.34,6.526,6.526,4166500,4155946,10588516
2010-12-23,6.252,6.496,5.984,6.018,6.018,7763000,4734844,13995081
2010-12-27,5.604,5.716,5.012,5.11,5.11,46509500,9228984,53348416
2010-12-28,5.17,5.35,5.0,5.282,5.282,20281500,11501348,31573161
2010-12-29,5.406,5.602,5.3,5.546,5.546,16596000,12505334,26368225
2010-12-30,5.54,5.58,5.276,5.3,5.3,10205500,13254833,20214016
2010-12-31,5.314,5.45,5.3,5.326,5.326,7089500,13643683,17338896
2011-01-03,5.368,5.4,5.18,5.324,5.324,6415000,13917568,17288964
2011-01-04,5.332,5.39,5.204,5.334,5.334,5937000,14276956,17791524
2011-01-05,5.296,5.38,5.238,5.366,5.366,7233500,14647395,20196036
2011-01-06,5.366,5.6,5.362,5.576,5.576,10306000,15298389,24621444
2011-01-07,5.6,5.716,5.58,5.648,5.648,11239500,15711138,27092025
2011-01-10,5.634,5.736,5.61,5.69,5.69,6713500,11772813,23068809
2011-01-11,5.718,5.742,5.384,5.392,5.392,8551000,10205931,24373969
2011-01-12,5.402,5.48,5.304,5.392,5.392,4822000,8871843,20412324
2011-01-13,5.392,5.394,5.232,5.244,5.244,3618000,8079684,18301284
2011-01-14,5.23,5.316,5.122,5.15,5.15,5960000,7887518,19855936
2011-01-18,5.096,5.128,4.95,5.128,5.128,8108500,8037651,21566736
2011-01-19,5.054,5.094,4.75,4.806,4.806,11857500,8644715,24920064
2011-01-20,4.806,4.89,4.474,4.524,4.524,11399500,9122021,24245776
2011-01-21,4.624,4.718,4.542,4.608,4.608,6085000,8747652,18215824
2011-01-24,4.706,4.962,4.646,4.898,4.898,8225500,8408815,19018321
2011-01-25,4.93,4.978,4.804,4.936,4.936,6357500,8339331,16892100
2011-01-26,4.942,4.976,4.82,4.95,4.95,5399500,8017233,15499969
2011-01-27,4.948,5.016,4.906,4.984,4.984,4478500,7950673,14348944
2011-01-28,4.976,4.976,4.75,4.802,4.802,5242000,8106417,15000129
2011-01-31,4.81,4.824,4.7,4.82,4.82,4151500,7941141,13980121
2011-02-01,4.862,4.946,4.708,4.782,4.782,3539000,7467664,13205956
2011-02-02,4.832,4.836,4.734,4.788,4.788,2847500,6519316,12229009
2011-02-03,4.764,4.78,4.63,4.726,4.726,2560000,5540531,11485321
2011-02-04,4.688,4.734,4.644,4.692,4.692,2720000,5106153,11202409
2011-02-07,4.652,4.652,4.576,4.614,4.614,4475500,4687715,12559936
2011-02-08,4.756,5.05,4.6,4.898,4.898,17524500,5762571,25482304
2011-02-09,4.826,4.836,4.558,4.642,4.642,13178000,6647907,22297284
2011-02-10,4.652,4.728,4.562,4.644,4.644,4180500,6706640,12852225
2011-02-11,4.65,4.75,4.588,4.65,4.65,3172500,6505564,10745284
2011-02-14,4.728,4.828,4.61,4.616,4.616,6415500,6711856,13653025
2011-02-15,4.602,4.634,4.512,4.568,4.568,4768500,6855435,12236004
2011-02-16,4.62,4.994,4.614,4.946,4.946,20575500,8642593,28111204
2011-02-17,4.926,5.098,4.71,4.72,4.72,13092000,9874509,22648081
2011-02-18,4.666,4.698,4.592,4.636,4.636,11853500,10911050,21446161
2011-02-22,4.576,4.6,4.356,4.374,4.374,10323000,11599455,20484676
2011-02-23,4.436,4.5,4.222,4.366,4.366,8028000,10718645,18593344
2011-02-24,4.356,4.516,4.3,4.506,4.506,5276500,9840414,15968016
2011-02-25,4.562,4.77,4.538,4.722,4.722,6731500,10007691,17489124
2011-02-28,4.748,4.82,4.7,4.778,4.778,5256000,10232769,16540489
2011-03-01,4.81,4.864,4.74,4.788,4.788,5532000,10166926,17065161
2011-03-02,4.764,4.856,4.746,4.804,4.804,3316500,10015142,15217801
2011-03-03,4.896,4.958,4.812,4.872,4.872,3201000,8262514,14884164
2011-03-04,4.896,4.998,4.756,4.99,4.99,7900500,7568101,19316025
2011-03-07,4.986,5.08,4.94,4.988,4.988,10168000,7330110,21669025
2011-03-08,4.92,4.992,4.8,4.932,4.932,6999500,6973961,18275625
2011-03-09,4.932,4.998,4.854,4.944,4.944,4624000,6597946,15147664
2011-03-10,4.888,4.898,4.746,4.802,4.802,5085000,6541194,14969161
2011-03-11,4.77,4.85,4.706,4.814,4.814,4654000,6327769,14145121
2011-03-14,4.764,4.8,4.64,4.65,4.65,5830000,6363826,14853316
2011-03-15,4.44,4.592,4.36,4.59,4.59,6594000,6473632,15319396
2011-03-16,4.572,4.65,4.538,4.564,4.564,5848500,6737813,14295961
2011-03-17,4.648,4.686,4.528,4.562,4.562,4613000,6905431,12823561
2011-03-18,4.638,4.638,4.502,4.592,4.592,3439500,6476093,11390625
2011-03-21,4.61,4.61,4.508,4.546,4.546,2058500,5622209,9696996
2011-03-22,4.546,4.572,4.4,4.438,4.438,2914500,5128320,10195249
2011-03-23,4.422,4.454,4.354,4.442,4.442,2114000,4827932,9272025
2011-03-24,4.428,4.476,4.396,4.466,4.466,2311000,4520493,9174841
2011-03-25,4.486,4.6,4.48,4.55,4.55,2840000,4308349,9492561
2011-03-28,4.54,4.708,4.51,4.65,4.65,5290500,4233184,11758041
2011-03-29,4.66,4.8,4.642,4.784,4.784,3777000,3943968,10220809
2011-03-30,4.822,4.898,4.602,4.742,4.742,6116500,3941846,12124324
2011-03-31,5.31,5.742,5.3,5.55,5.55,57589000,9239234,64016001
2011-04-01,5.49,5.636,5.314,5.332,5.332,14324000,10857423,26378496
2011-04-04,5.366,5.4,5.046,5.166,5.166,13046500,12118042,21996100
2011-04-05,5.18,5.4,5.138,5.34,5.34,15904500,13543104,25250625
2011-04-06,5.398,5.402,5.16,5.298,5.298,6441500,14118360,17048641
2011-04-07,5.37,5.588,5.29,5.448,5.448,14051500,15349936,24920064
2011-04-08,5.516,5.52,5.272,5.298,5.298,9732000,16162293,22572001
2011-04-11,5.294,5.306,5.004,5.054,5.054,6847000,16399179,20666116
2011-04-12,5.016,5.042,4.86,4.93,4.93,6787000,16723867,21696964
2011-04-13,5.026,5.138,4.962,4.986,4.986,6057500,16750436,22344529
2011-04-14,4.974,5.056,4.84,5.028,5.028,4917000,11485893,21501769
2011-04-15,5.13,5.236,5.082,5.116,5.116,4717500,9998789,21132409
2011-04-18,5.026,5.124,4.872,5.006,5.006,5169500,9062378,21233664
2011-04-19,5.052,5.052,4.93,5.032,5.032,2743500,7652637,18232900
2011-04-20,5.14,5.218,5.06,5.15,5.15,4186000,7286113,18688329
2011-04-21,5.17,5.396,5.118,5.348,5.348,6930500,6537361,20602521
2011-04-25,5.34,5.346,5.194,5.278,5.278,4004500,5889736,16842816
2011-04-26,5.332,5.45,5.262,5.386,5.386,7000000,5840273,18404100
2011-04-27,5.386,5.472,5.326,5.416,5.416,4984500,5655077,15437041
2011-04-28,5.414,5.538,5.344,5.532,5.532,8000000,5830807,17065161
2011-04-29,5.538,5.574,5.484,5.52,5.52,3630000,5719680,12278016
2011-05-02,5.52,5.56,5.412,5.49,5.49,3923000,5629118,11655396
2011-05-03,5.476,5.478,5.3,5.374,5.374,4569500,5560061,11888704
2011-05-04,5.356,5.4,5.15,5.338,5.338,5222500,5801056,12383361
2011-05-05,5.44,5.488,5.234,5.288,5.288,6092500,6015805,13176900
2011-05-06,5.38,5.54,5.324,5.424,5.424,4908500,5835080,11999296
2011-05-09,5.4,5.6,5.37,5.582,5.582,4582000,5874758,11553201
2011-05-10,5.648,5.79,5.582,5.666,5.666,7676500,5946375,14615329
2011-05-11,5.64,5.66,5.384,5.414,5.414,4812500,5936337,12082576
2011-05-12,5.414,5.548,5.33,5.534,5.534,3140000,5449333,10118761
2011-05-13,5.6,5.638,5.46,5.51,5.51,3307500,5368383,10055241
2011-05-16,5.598,5.598,5.31,5.32,5.32,3778500,5345838,10491121
2011-05-17,5.4,5.4,5.144,5.192,5.192,6171000,5503733,12924025
2011-05-18,5.22,5.294,5.104,5.27,5.27,3647500,5362023,10601536
2011-05-19,5.406,5.688,5.32,5.64,5.64,13275500,6066152,19998784
2011-05-20,5.652,5.656,5.47,5.594,5.594,4212500,6066965,11902500
2011-05-23,5.524,5.524,5.324,5.364,5.364,4318000,6040646,11215801
2011-05-24,5.404,5.5,5.32,5.344,5.344,3068500,5577214,9859600
2011-05-25,5.38,5.802,5.234,5.796,5.796,23465500,7396171,30261001
2011-05-26,5.764,5.952,5.62,5.896,5.896,16684500,8932517,25867396
2011-05-27,5.908,5.934,5.764,5.91,5.91,8435500,9598951,17606416
2011-05-31,5.938,6.056,5.91,6.028,6.028,16452500,10932995,25351225
